img_name,masked_image,binary_image,clone,rep,tuber,sprouting,hollow_heart,IBS,bruise,cracks,stemend_browning,anthocyanin,vascular_discoloration,greening,unknow_defect
4_2_1,4_2_1_masked.jpg,4_2_1_binary.jpg,4,2,1,0,0,0,1,0,0,0,0,0,0
4_2_2,4_2_2_masked.jpg,4_2_2_binary.jpg,4,2,2,0,0,0,0,0,0,0,0,0,0
4_2_3,4_2_3_masked.jpg,4_2_3_binary.jpg,4,2,3,0,0,0,0,0,0,0,0,0,0
4_2_4,4_2_4_masked.jpg,4_2_4_binary.jpg,4,2,4,0,0,0,0,0,0,0,0,0,0
4_2_5,4_2_5_masked.jpg,4_2_5_binary.jpg,4,2,5,0,0,0,0,0,0,0,0,0,0
5_1_6,5_1_6_masked.jpg,5_1_6_binary.jpg,5,1,6,0,0,0,1,0,1,0,0,0,0
5_1_7,5_1_7_masked.jpg,5_1_7_binary.jpg,5,1,7,0,0,0,1,0,1,0,0,0,0
5_1_8,5_1_8_masked.jpg,5_1_8_binary.jpg,5,1,8,0,0,0,0,0,0,0,0,0,0
5_1_9,5_1_9_masked.jpg,5_1_9_binary.jpg,5,1,9,0,0,0,0,0,0,0,0,0,0
5_1_10,5_1_10_masked.jpg,5_1_10_binary.jpg,5,1,10,0,0,0,0,0,0,0,0,0,0
5_2_1,5_2_1_masked.jpg,5_2_1_binary.jpg,5,2,1,0,0,0,0,0,0,0,0,0,0
5_2_2,5_2_2_masked.jpg,5_2_2_binary.jpg,5,2,2,0,0,0,1,1,0,0,0,0,1
5_2_3,5_2_3_masked.jpg,5_2_3_binary.jpg,5,2,3,0,0,0,0,0,0,0,0,0,0
5_2_4,5_2_4_masked.jpg,5_2_4_binary.jpg,5,2,4,0,0,0,0,0,0,0,0,0,0
5_2_5,5_2_5_masked.jpg,5_2_5_binary.jpg,5,2,5,0,0,0,0,0,0,0,0,0,0
6_1_6,6_1_6_masked.jpg,6_1_6_binary.jpg,6,1,6,0,0,0,1,0,0,0,0,0,0
6_1_7,6_1_7_masked.jpg,6_1_7_binary.jpg,6,1,7,0,0,0,0,0,0,0,0,0,0
6_1_8,6_1_8_masked.jpg,6_1_8_binary.jpg,6,1,8,0,0,1,1,0,1,0,0,0,0
6_1_9,6_1_9_masked.jpg,6_1_9_binary.jpg,6,1,9,0,0,0,1,0,1,0,0,0,0
6_1_10,6_1_10_masked.jpg,6_1_10_binary.jpg,6,1,10,0,0,1,0,0,0,0,0,0,0
6_2_1,6_2_1_masked.jpg,6_2_1_binary.jpg,6,2,1,0,0,1,0,0,0,0,0,0,0
6_2_2,6_2_2_masked.jpg,6_2_2_binary.jpg,6,2,2,0,0,0,1,0,1,0,0,0,0
6_2_3,6_2_3_masked.jpg,6_2_3_binary.jpg,6,2,3,0,0,0,0,0,0,0,0,0,0
6_2_4,6_2_4_masked.jpg,6_2_4_binary.jpg,6,2,4,0,0,0,1,0,1,0,0,0,0
6_2_5,6_2_5_masked.jpg,6_2_5_binary.jpg,6,2,5,0,0,1,0,0,0,0,0,0,0
7_1_6,7_1_6_masked.jpg,7_1_6_binary.jpg,7,1,6,0,0,0,0,0,0,0,0,0,0
7_1_7,7_1_7_masked.jpg,7_1_7_binary.jpg,7,1,7,0,0,0,0,0,0,0,0,0,0
7_1_8,7_1_8_masked.jpg,7_1_8_binary.jpg,7,1,8,0,0,0,0,0,0,0,0,0,0
7_1_9,7_1_9_masked.jpg,7_1_9_binary.jpg,7,1,9,0,0,0,0,0,0,0,0,0,0
7_1_10,7_1_10_masked.jpg,7_1_10_binary.jpg,7,1,10,0,0,0,0,0,0,0,0,0,0
7_2_1,7_2_1_masked.jpg,7_2_1_binary.jpg,7,2,1,0,0,0,0,0,0,0,0,0,0
7_2_2,7_2_2_masked.jpg,7_2_2_binary.jpg,7,2,2,0,0,0,0,0,0,0,0,0,0
7_2_3,7_2_3_masked.jpg,7_2_3_binary.jpg,7,2,3,0,0,0,0,0,0,0,0,0,0
7_2_4,7_2_4_masked.jpg,7_2_4_binary.jpg,7,2,4,0,0,0,0,0,0,1,0,0,0
7_2_5,7_2_5_masked.jpg,7_2_5_binary.jpg,7,2,5,0,0,0,0,0,0,1,0,0,0
8_1_6,8_1_6_masked.jpg,8_1_6_binary.jpg,8,1,6,0,0,0,0,0,0,0,0,0,0
8_1_7,8_1_7_masked.jpg,8_1_7_binary.jpg,8,1,7,0,0,0,1,0,0,0,0,0,0
8_1_8,8_1_8_masked.jpg,8_1_8_binary.jpg,8,1,8,0,0,0,1,0,1,0,0,0,1
8_1_9,8_1_9_masked.jpg,8_1_9_binary.jpg,8,1,9,0,0,0,1,0,1,0,0,0,1
8_1_10,8_1_10_masked.jpg,8_1_10_binary.jpg,8,1,10,0,0,0,0,0,0,0,0,0,0
8_2_1,8_2_1_masked.jpg,8_2_1_binary.jpg,8,2,1,0,0,0,0,0,0,0,0,0,0
8_2_2,8_2_2_masked.jpg,8_2_2_binary.jpg,8,2,2,0,0,0,0,0,0,0,0,0,0
8_2_3,8_2_3_masked.jpg,8_2_3_binary.jpg,8,2,3,0,0,0,0,0,0,0,0,0,0
8_2_4,8_2_4_masked.jpg,8_2_4_binary.jpg,8,2,4,0,0,0,0,0,0,0,0,0,0
8_2_5,8_2_5_masked.jpg,8_2_5_binary.jpg,8,2,5,0,0,0,0,0,0,0,0,0,0
9_1_6,9_1_6_masked.jpg,9_1_6_binary.jpg,9,1,6,0,0,1,0,0,0,0,0,0,0
9_1_7,9_1_7_masked.jpg,9_1_7_binary.jpg,9,1,7,0,0,0,0,0,0,0,0,0,0
9_1_8,9_1_8_masked.jpg,9_1_8_binary.jpg,9,1,8,0,0,1,0,0,0,0,0,0,0
9_1_9,9_1_9_masked.jpg,9_1_9_binary.jpg,9,1,9,0,0,0,0,0,0,0,0,0,0
9_1_10,9_1_10_masked.jpg,9_1_10_binary.jpg,9,1,10,0,0,0,0,0,0,0,0,0,0
9_2_1,9_2_1_masked.jpg,9_2_1_binary.jpg,9,2,1,0,0,0,0,0,0,0,0,0,0
9_2_2,9_2_2_masked.jpg,9_2_2_binary.jpg,9,2,2,0,0,0,0,0,0,0,0,0,0
9_2_3,9_2_3_masked.jpg,9_2_3_binary.jpg,9,2,3,0,0,0,0,0,0,0,0,0,0
9_2_4,9_2_4_masked.jpg,9_2_4_binary.jpg,9,2,4,0,0,0,1,1,0,0,0,0,0
9_2_5,9_2_5_masked.jpg,9_2_5_binary.jpg,9,2,5,0,0,0,0,0,0,0,0,0,0
10_1_6,10_1_6_masked.jpg,10_1_6_binary.jpg,10,1,6,0,0,0,0,0,0,0,0,0,0
10_1_7,10_1_7_masked.jpg,10_1_7_binary.jpg,10,1,7,0,0,0,0,0,0,0,0,0,0
10_1_8,10_1_8_masked.jpg,10_1_8_binary.jpg,10,1,8,0,0,0,0,0,0,0,0,0,0
10_1_9,10_1_9_masked.jpg,10_1_9_binary.jpg,10,1,9,0,0,0,0,0,0,0,0,0,0
10_1_10,10_1_10_masked.jpg,10_1_10_binary.jpg,10,1,10,0,0,0,0,0,0,0,0,0,0
10_2_1,10_2_1_masked.jpg,10_2_1_binary.jpg,10,2,1,0,0,0,0,0,0,0,0,0,0
10_2_2,10_2_2_masked.jpg,10_2_2_binary.jpg,10,2,2,0,0,0,1,0,1,0,0,0,0
10_2_3,10_2_3_masked.jpg,10_2_3_binary.jpg,10,2,3,0,0,0,0,0,0,0,0,0,0
10_2_4,10_2_4_masked.jpg,10_2_4_binary.jpg,10,2,4,0,0,0,1,0,1,0,0,0,0
10_2_5,10_2_5_masked.jpg,10_2_5_binary.jpg,10,2,5,0,0,0,0,0,1,0,0,0,0
11_1_6,11_1_6_masked.jpg,11_1_6_binary.jpg,11,1,6,0,0,0,0,0,0,0,0,0,0
11_1_7,11_1_7_masked.jpg,11_1_7_binary.jpg,11,1,7,0,0,0,1,1,1,0,0,0,0
11_1_8,11_1_8_masked.jpg,11_1_8_binary.jpg,11,1,8,0,0,0,1,0,1,0,0,0,0
11_1_9,11_1_9_masked.jpg,11_1_9_binary.jpg,11,1,9,0,0,0,0,0,0,0,1,0,0
11_1_10,11_1_10_masked.jpg,11_1_10_binary.jpg,11,1,10,0,0,0,0,0,0,0,0,0,0
11_2_1,11_2_1_masked.jpg,11_2_1_binary.jpg,11,2,1,0,0,0,0,0,0,0,0,0,0
11_2_2,11_2_2_masked.jpg,11_2_2_binary.jpg,11,2,2,0,0,0,0,0,0,0,0,0,0
11_2_3,11_2_3_masked.jpg,11_2_3_binary.jpg,11,2,3,0,0,0,0,0,0,0,0,0,0
11_2_4,11_2_4_masked.jpg,11_2_4_binary.jpg,11,2,4,0,0,0,0,0,0,0,0,0,0
11_2_5,11_2_5_masked.jpg,11_2_5_binary.jpg,11,2,5,0,0,0,1,0,0,0,0,0,0
12_1_6,12_1_6_masked.jpg,12_1_6_binary.jpg,12,1,6,0,0,0,0,0,0,0,0,0,0
12_1_7,12_1_7_masked.jpg,12_1_7_binary.jpg,12,1,7,0,0,0,0,0,0,0,0,0,0
12_1_8,12_1_8_masked.jpg,12_1_8_binary.jpg,12,1,8,0,0,0,0,0,0,0,0,0,0
12_1_9,12_1_9_masked.jpg,12_1_9_binary.jpg,12,1,9,0,0,0,0,0,0,0,0,0,0
12_1_10,12_1_10_masked.jpg,12_1_10_binary.jpg,12,1,10,1,0,0,0,0,0,0,0,0,0
12_2_1,12_2_1_masked.jpg,12_2_1_binary.jpg,12,2,1,0,0,1,0,0,0,0,0,0,0
12_2_2,12_2_2_masked.jpg,12_2_2_binary.jpg,12,2,2,0,0,1,0,0,0,0,0,0,0
12_2_3,12_2_3_masked.jpg,12_2_3_binary.jpg,12,2,3,0,0,0,0,0,0,0,0,0,0
12_2_4,12_2_4_masked.jpg,12_2_4_binary.jpg,12,2,4,0,0,0,0,0,0,0,0,0,0
12_2_5,12_2_5_masked.jpg,12_2_5_binary.jpg,12,2,5,0,0,0,0,0,0,0,0,0,0
13_1_6,13_1_6_masked.jpg,13_1_6_binary.jpg,13,1,6,0,0,0,0,0,0,0,0,0,0
13_1_7,13_1_7_masked.jpg,13_1_7_binary.jpg,13,1,7,0,1,0,0,0,0,0,0,0,0
13_1_8,13_1_8_masked.jpg,13_1_8_binary.jpg,13,1,8,0,0,0,0,0,0,0,0,0,0
13_1_9,13_1_9_masked.jpg,13_1_9_binary.jpg,13,1,9,0,0,0,0,0,0,0,0,0,0
13_1_10,13_1_10_masked.jpg,13_1_10_binary.jpg,13,1,10,0,0,0,0,0,0,0,0,0,0
13_2_1,13_2_1_masked.jpg,13_2_1_binary.jpg,13,2,1,0,1,0,0,0,0,0,0,0,0
13_2_2,13_2_2_masked.jpg,13_2_2_binary.jpg,13,2,2,0,0,0,0,0,0,0,0,0,0
13_2_3,13_2_3_masked.jpg,13_2_3_binary.jpg,13,2,3,0,0,0,0,0,0,0,0,0,0
13_2_4,13_2_4_masked.jpg,13_2_4_binary.jpg,13,2,4,0,0,0,0,0,0,0,0,0,0
13_2_5,13_2_5_masked.jpg,13_2_5_binary.jpg,13,2,5,0,0,0,0,0,0,0,0,0,0
14_1_6,14_1_6_masked.jpg,14_1_6_binary.jpg,14,1,6,0,0,1,1,0,0,0,1,0,0
14_1_7,14_1_7_masked.jpg,14_1_7_binary.jpg,14,1,7,0,0,1,0,0,0,0,0,0,0
14_1_8,14_1_8_masked.jpg,14_1_8_binary.jpg,14,1,8,0,0,1,0,0,0,0,0,0,0
14_1_9,14_1_9_masked.jpg,14_1_9_binary.jpg,14,1,9,0,0,1,0,0,0,0,0,0,0
14_1_10,14_1_10_masked.jpg,14_1_10_binary.jpg,14,1,10,0,0,1,1,0,0,0,0,0,0
14_2_1,14_2_1_masked.jpg,14_2_1_binary.jpg,14,2,1,0,0,1,0,0,0,0,1,0,0
14_2_2,14_2_2_masked.jpg,14_2_2_binary.jpg,14,2,2,0,0,1,0,0,0,0,0,0,0
14_2_3,14_2_3_masked.jpg,14_2_3_binary.jpg,14,2,3,0,0,1,0,0,0,0,0,0,0
14_2_4,14_2_4_masked.jpg,14_2_4_binary.jpg,14,2,4,0,0,1,0,0,0,0,0,0,0
14_2_5,14_2_5_masked.jpg,14_2_5_binary.jpg,14,2,5,0,0,1,1,0,0,0,0,0,0
15_1_6,15_1_6_masked.jpg,15_1_6_binary.jpg,15,1,6,0,1,1,0,0,0,0,0,0,0
15_1_7,15_1_7_masked.jpg,15_1_7_binary.jpg,15,1,7,0,0,0,0,0,0,0,0,0,0
15_1_8,15_1_8_masked.jpg,15_1_8_binary.jpg,15,1,8,0,0,0,0,0,0,0,0,0,0
15_1_9,15_1_9_masked.jpg,15_1_9_binary.jpg,15,1,9,0,0,0,0,0,0,0,0,0,0
15_1_10,15_1_10_masked.jpg,15_1_10_binary.jpg,15,1,10,0,0,0,0,0,0,0,0,0,0
15_2_1,15_2_1_masked.jpg,15_2_1_binary.jpg,15,2,1,0,0,0,1,0,1,0,0,0,0
15_2_2,15_2_2_masked.jpg,15_2_2_binary.jpg,15,2,2,0,0,0,0,0,0,1,0,0,0
15_2_3,15_2_3_masked.jpg,15_2_3_binary.jpg,15,2,3,0,1,0,1,0,1,0,0,0,0
15_2_4,15_2_4_masked.jpg,15_2_4_binary.jpg,15,2,4,0,0,0,0,0,0,0,0,0,0
15_2_5,15_2_5_masked.jpg,15_2_5_binary.jpg,15,2,5,0,0,0,1,0,0,0,0,0,0
16_1_6,16_1_6_masked.jpg,16_1_6_binary.jpg,16,1,6,0,0,0,0,0,0,0,0,0,0
16_1_7,16_1_7_masked.jpg,16_1_7_binary.jpg,16,1,7,0,0,0,0,0,0,0,0,0,0
16_1_8,16_1_8_masked.jpg,16_1_8_binary.jpg,16,1,8,0,0,0,0,1,0,0,0,0,0
16_1_9,16_1_9_masked.jpg,16_1_9_binary.jpg,16,1,9,0,0,0,1,1,0,0,0,0,0
16_1_10,16_1_10_masked.jpg,16_1_10_binary.jpg,16,1,10,1,0,0,0,0,0,0,0,0,0
16_2_1,16_2_1_masked.jpg,16_2_1_binary.jpg,16,2,1,1,0,0,0,0,0,0,0,0,0
16_2_2,16_2_2_masked.jpg,16_2_2_binary.jpg,16,2,2,0,0,0,1,0,0,0,0,0,0
16_2_3,16_2_3_masked.jpg,16_2_3_binary.jpg,16,2,3,1,0,0,0,0,0,0,0,0,0
16_2_4,16_2_4_masked.jpg,16_2_4_binary.jpg,16,2,4,0,0,0,0,0,0,0,0,0,0
16_2_5,16_2_5_masked.jpg,16_2_5_binary.jpg,16,2,5,1,0,0,0,0,0,0,0,0,0
17_1_6,17_1_6_masked.jpg,17_1_6_binary.jpg,17,1,6,0,0,0,0,0,0,0,0,0,0
17_1_7,17_1_7_masked.jpg,17_1_7_binary.jpg,17,1,7,0,0,0,0,0,0,0,0,0,0
17_1_8,17_1_8_masked.jpg,17_1_8_binary.jpg,17,1,8,0,0,0,0,0,0,0,0,0,0
17_1_9,17_1_9_masked.jpg,17_1_9_binary.jpg,17,1,9,0,0,0,0,0,0,0,0,0,0
17_1_10,17_1_10_masked.jpg,17_1_10_binary.jpg,17,1,10,0,0,0,0,0,0,0,0,0,0
17_2_1,17_2_1_masked.jpg,17_2_1_binary.jpg,17,2,1,0,0,0,1,0,0,0,0,0,0
17_2_2,17_2_2_masked.jpg,17_2_2_binary.jpg,17,2,2,0,0,0,0,0,0,0,0,0,0
17_2_3,17_2_3_masked.jpg,17_2_3_binary.jpg,17,2,3,1,0,0,0,0,0,0,0,0,0
17_2_4,17_2_4_masked.jpg,17_2_4_binary.jpg,17,2,4,0,0,0,0,0,0,0,0,0,0
17_2_5,17_2_5_masked.jpg,17_2_5_binary.jpg,17,2,5,0,0,0,1,0,1,0,0,0,0
18_1_6,18_1_6_masked.jpg,18_1_6_binary.jpg,18,1,6,0,0,0,0,0,0,0,0,0,0
18_1_7,18_1_7_masked.jpg,18_1_7_binary.jpg,18,1,7,0,0,1,0,0,0,0,0,0,0
18_1_8,18_1_8_masked.jpg,18_1_8_binary.jpg,18,1,8,0,0,0,0,0,0,0,0,0,0
18_1_9,18_1_9_masked.jpg,18_1_9_binary.jpg,18,1,9,0,0,1,1,0,0,0,0,0,0
18_1_10,18_1_10_masked.jpg,18_1_10_binary.jpg,18,1,10,1,0,0,0,0,0,0,0,0,0
18_2_1,18_2_1_masked.jpg,18_2_1_binary.jpg,18,2,1,1,0,0,0,0,0,0,0,0,0
18_2_2,18_2_2_masked.jpg,18_2_2_binary.jpg,18,2,2,0,0,1,1,0,0,0,0,0,0
18_2_3,18_2_3_masked.jpg,18_2_3_binary.jpg,18,2,3,0,0,0,0,0,0,0,0,0,0
18_2_4,18_2_4_masked.jpg,18_2_4_binary.jpg,18,2,4,1,0,0,0,0,0,0,0,0,0
18_2_5,18_2_5_masked.jpg,18_2_5_binary.jpg,18,2,5,1,0,0,1,1,0,0,0,0,1
19_1_6,19_1_6_masked.jpg,19_1_6_binary.jpg,19,1,6,0,0,0,0,0,0,0,0,0,0
19_1_7,19_1_7_masked.jpg,19_1_7_binary.jpg,19,1,7,0,0,0,0,0,0,0,0,0,0
19_1_8,19_1_8_masked.jpg,19_1_8_binary.jpg,19,1,8,0,0,0,0,0,0,0,0,0,0
19_1_9,19_1_9_masked.jpg,19_1_9_binary.jpg,19,1,9,0,0,0,0,0,0,0,0,0,0
19_1_10,19_1_10_masked.jpg,19_1_10_binary.jpg,19,1,10,0,0,0,0,0,0,0,0,0,0
19_2_1,19_2_1_masked.jpg,19_2_1_binary.jpg,19,2,1,0,0,0,0,0,0,0,0,0,0
19_2_2,19_2_2_masked.jpg,19_2_2_binary.jpg,19,2,2,0,0,0,1,0,0,0,0,0,0
19_2_3,19_2_3_masked.jpg,19_2_3_binary.jpg,19,2,3,0,0,0,0,0,0,0,0,0,0
19_2_4,19_2_4_masked.jpg,19_2_4_binary.jpg,19,2,4,0,0,0,0,0,0,0,0,0,0
19_2_5,19_2_5_masked.jpg,19_2_5_binary.jpg,19,2,5,0,0,0,0,0,0,0,0,0,0
20_1_6,20_1_6_masked.jpg,20_1_6_binary.jpg,20,1,6,0,0,0,0,0,0,0,0,0,0
20_1_7,20_1_7_masked.jpg,20_1_7_binary.jpg,20,1,7,0,0,0,0,0,0,0,0,0,0
20_1_8,20_1_8_masked.jpg,20_1_8_binary.jpg,20,1,8,0,0,0,0,0,0,0,0,0,0
20_1_9,20_1_9_masked.jpg,20_1_9_binary.jpg,20,1,9,0,0,0,0,0,0,0,0,0,0
20_1_10,20_1_10_masked.jpg,20_1_10_binary.jpg,20,1,10,1,0,0,0,0,0,0,0,0,0
20_2_1,20_2_1_masked.jpg,20_2_1_binary.jpg,20,2,1,0,0,0,1,0,1,0,0,0,0
20_2_2,20_2_2_masked.jpg,20_2_2_binary.jpg,20,2,2,0,0,0,1,1,1,0,0,0,0
20_2_3,20_2_3_masked.jpg,20_2_3_binary.jpg,20,2,3,1,0,0,0,0,0,0,0,1,0
20_2_4,20_2_4_masked.jpg,20_2_4_binary.jpg,20,2,4,0,0,0,0,1,0,0,0,0,1
20_2_5,20_2_5_masked.jpg,20_2_5_binary.jpg,20,2,5,1,0,0,1,1,1,0,0,0,1
21_1_6,21_1_6_masked.jpg,21_1_6_binary.jpg,21,1,6,1,1,0,0,0,0,0,0,0,1
21_1_7,21_1_7_masked.jpg,21_1_7_binary.jpg,21,1,7,1,0,0,0,0,0,0,0,0,0
21_1_8,21_1_8_masked.jpg,21_1_8_binary.jpg,21,1,8,1,0,0,0,0,0,0,0,0,0
21_1_9,21_1_9_masked.jpg,21_1_9_binary.jpg,21,1,9,1,0,1,0,0,0,0,0,0,0
21_1_10,21_1_10_masked.jpg,21_1_10_binary.jpg,21,1,10,0,0,0,1,0,0,0,0,0,0
21_2_1,21_2_1_masked.jpg,21_2_1_binary.jpg,21,2,1,1,0,0,0,0,0,0,0,0,0
21_2_2,21_2_2_masked.jpg,21_2_2_binary.jpg,21,2,2,1,0,0,0,0,0,0,1,0,0
21_2_3,21_2_3_masked.jpg,21_2_3_binary.jpg,21,2,3,0,0,1,0,0,0,0,0,0,0
21_2_4,21_2_4_masked.jpg,21_2_4_binary.jpg,21,2,4,1,0,0,0,0,0,0,0,0,0
21_2_5,21_2_5_masked.jpg,21_2_5_binary.jpg,21,2,5,0,0,0,0,0,0,0,0,0,0
22_1_6,22_1_6_masked.jpg,22_1_6_binary.jpg,22,1,6,0,0,0,0,0,0,0,0,0,0
22_1_7,22_1_7_masked.jpg,22_1_7_binary.jpg,22,1,7,0,0,0,0,0,0,0,0,0,0
22_1_8,22_1_8_masked.jpg,22_1_8_binary.jpg,22,1,8,0,0,0,0,0,0,0,0,0,0
22_1_9,22_1_9_masked.jpg,22_1_9_binary.jpg,22,1,9,0,0,0,0,0,0,0,0,0,0
22_1_10,22_1_10_masked.jpg,22_1_10_binary.jpg,22,1,10,0,0,0,0,0,0,0,0,0,0
23_1_6,23_1_6_masked.jpg,23_1_6_binary.jpg,23,1,6,1,0,1,0,0,0,0,0,0,0
23_1_7,23_1_7_masked.jpg,23_1_7_binary.jpg,23,1,7,1,0,0,0,0,0,0,0,0,0
23_1_8,23_1_8_masked.jpg,23_1_8_binary.jpg,23,1,8,1,0,1,0,0,0,0,0,0,0
23_1_9,23_1_9_masked.jpg,23_1_9_binary.jpg,23,1,9,0,0,1,0,0,0,0,0,0,0
23_1_10,23_1_10_masked.jpg,23_1_10_binary.jpg,23,1,10,0,0,0,0,0,0,0,0,0,0
23_2_1,23_2_1_masked.jpg,23_2_1_binary.jpg,23,2,1,0,0,0,1,1,0,0,0,0,1
23_2_2,23_2_2_masked.jpg,23_2_2_binary.jpg,23,2,2,0,0,0,0,0,0,0,0,0,0
23_2_3,23_2_3_masked.jpg,23_2_3_binary.jpg,23,2,3,0,0,0,1,1,0,0,0,0,0
23_2_4,23_2_4_masked.jpg,23_2_4_binary.jpg,23,2,4,1,0,1,1,0,0,0,0,0,0
23_2_5,23_2_5_masked.jpg,23_2_5_binary.jpg,23,2,5,0,0,0,0,0,1,0,0,0,0
24_1_6,24_1_6_masked.jpg,24_1_6_binary.jpg,24,1,6,0,0,0,0,0,0,0,0,0,0
24_1_7,24_1_7_masked.jpg,24_1_7_binary.jpg,24,1,7,0,0,0,0,0,0,0,0,0,0
24_1_8,24_1_8_masked.jpg,24_1_8_binary.jpg,24,1,8,0,0,0,0,0,0,0,0,0,0
24_1_9,24_1_9_masked.jpg,24_1_9_binary.jpg,24,1,9,0,0,0,0,0,0,0,0,0,0
24_1_10,24_1_10_masked.jpg,24_1_10_binary.jpg,24,1,10,0,0,0,0,0,0,0,0,0,0
24_2_1,24_2_1_masked.jpg,24_2_1_binary.jpg,24,2,1,0,0,0,0,0,0,0,0,0,0
24_2_2,24_2_2_masked.jpg,24_2_2_binary.jpg,24,2,2,0,0,0,0,0,0,0,0,0,0
24_2_3,24_2_3_masked.jpg,24_2_3_binary.jpg,24,2,3,0,0,0,0,0,0,0,0,0,0
24_2_4,24_2_4_masked.jpg,24_2_4_binary.jpg,24,2,4,0,0,0,0,0,0,0,0,0,0
24_2_5,24_2_5_masked.jpg,24_2_5_binary.jpg,24,2,5,1,0,0,0,0,0,0,0,0,0
25_1_6,25_1_6_masked.jpg,25_1_6_binary.jpg,25,1,6,0,0,0,0,0,0,0,0,0,0
25_1_7,25_1_7_masked.jpg,25_1_7_binary.jpg,25,1,7,0,0,0,0,0,0,0,0,0,0
25_1_8,25_1_8_masked.jpg,25_1_8_binary.jpg,25,1,8,0,0,0,1,0,0,0,0,0,0
